caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
矗,chu4,ch,u,Simple,oral,4,0,ch,Rétroflexe,3P
矛,mao2,m,ao,Simple,oral,2,0,m,Labiale,1P+2N
矜,jin1,j,in,Médiale-i,nasal,1,1,j,Palatale,1P+2N
矞,yu4,y,ü,Simple,oral,4,0,y,Semi-voyelle,2P+1N
矟,shuo4,sh,uo,Médiale-u,oral,4,0,sh,Rétroflexe,1P+2N
矠,ze2,z,e,Simple,oral,2,0,z,Sifflante,1P+2N
矢,shi3,sh,i,Simple,oral,3,0,sh,Rétroflexe,1P+2N
矣,yi3,y,i,Simple,oral,3,0,y,Semi-voyelle,2P+1N
知,zhi1,zh,i,Simple,oral,1,0,zh,Rétroflexe,1P+2N
矦,hou2,h,ou,Simple,oral,2,0,h,Vélaire,2P+1N
矧,shen3,sh,en,Nasal,nasal,3,1,sh,Rétroflexe,1P+2N
矨,ying3,y,ing,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
矩,ju5,j,ü,Simple,oral,5,0,j,Palatale,1P+2N
矫,jiao3,j,iao,Médiale-i,oral,3,0,j,Palatale,1P+2N
矬,cuo2,c,uo,Médiale-u,oral,2,0,c,Sifflante,1P+2N
短,duan3,d,uan,Médiale-u,nasal,3,1,d,Dentale,1P+2N
矮,ai3,,ai,Simple,oral,3,0,Ø,Zero,3N
矰,zeng1,z,eng,Nasal,nasal,1,1,z,Sifflante,1P+2N
矱,yue1,y,üe,Complexe,oral,1,0,y,Semi-voyelle,2P+1N
石,shi2,sh,i,Simple,oral,2,0,sh,Rétroflexe,1P+2N
矶,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
矷,zi3,z,i,Simple,oral,3,0,z,Sifflante,1P+2N
矸,gan1,g,an,Nasal,nasal,1,1,g,Vélaire,1P+2N
矻,ku1,k,u,Simple,oral,1,0,k,Vélaire,1P+2N
矼,jiang1,j,iang,Médiale-i,nasal,1,1,j,Palatale,1P+2N
矽,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
矾,fan2,f,an,Nasal,nasal,2,1,f,Labiale,2P+1N
矿,kuang4,k,uang,Médiale-u,nasal,4,1,k,Vélaire,1P+2N
砀,dang4,d,ang,Nasal,nasal,4,1,d,Dentale,1P+2N
码,ma3,m,a,Simple,oral,3,0,m,Labiale,1P+2N
砂,sha1,sh,a,Simple,oral,1,0,sh,Rétroflexe,1P+2N
砃,dan1,d,an,Nasal,nasal,1,1,d,Dentale,1P+2N
砄,jue2,j,üe,Complexe,oral,2,0,j,Palatale,1P+2N
砅,li4,l,i,Simple,oral,4,0,l,Dentale,3P
砆,fu1,f,u,Simple,oral,1,0,f,Labiale,2P+1N
砈,e4,,e,Simple,oral,4,0,Ø,Zero,3N
砉,hua1,h,ua,Médiale-u,oral,1,0,h,Vélaire,2P+1N
砌,qi4,q,i,Simple,oral,4,0,q,Palatale,2P+1N
砍,kan3,k,an,Nasal,nasal,3,1,k,Vélaire,1P+2N
砑,ya4,y,ia,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
砒,pi1,p,i,Simple,oral,1,0,p,Labiale,2P+1N
研,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
砕,sui4,s,ui,Médiale-u,oral,4,0,s,Sifflante,1P+2N
砖,zhuan1,zh,uan,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
砗,che1,ch,e,Simple,oral,1,0,ch,Rétroflexe,3P
砘,dun4,d,un,Médiale-u,nasal,4,1,d,Dentale,1P+2N
砚,yan4,y,ian,Médiale-i,nasal,4,1,y,Semi-voyelle,2P+1N
砜,feng1,f,eng,Nasal,nasal,1,1,f,Labiale,2P+1N
砝,fa3,f,a,Simple,oral,3,0,f,Labiale,2P+1N
砟,zha3,zh,a,Simple,oral,3,0,zh,Rétroflexe,1P+2N
砠,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
砢,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
砣,tuo2,t,uo,Médiale-u,oral,2,0,t,Dentale,3P
砥,di3,d,i,Simple,oral,3,0,d,Dentale,1P+2N
砧,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
砩,fei4,f,ei,Simple,oral,4,0,f,Labiale,2P+1N
砫,zhu3,zh,u,Simple,oral,3,0,zh,Rétroflexe,1P+2N
砬,la2,l,a,Simple,oral,2,0,l,Dentale,3P
砭,bian1,b,ian,Médiale-i,nasal,1,1,b,Labiale,1P+2N
砮,nu3,n,u,Simple,oral,3,0,n,Dentale,1P+2N
砯,ping1,p,ing,Médiale-i,nasal,1,1,p,Labiale,2P+1N
砰,peng1,p,eng,Nasal,nasal,1,1,p,Labiale,2P+1N
砳,le4,l,e,Simple,oral,4,0,l,Dentale,3P
破,po4,p,o,Simple,oral,4,0,p,Labiale,2P+1N
砵,bo1,b,o,Simple,oral,1,0,b,Labiale,1P+2N
砷,shen1,sh,en,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
砸,za2,z,a,Simple,oral,2,0,z,Sifflante,1P+2N
砹,ai4,,ai,Simple,oral,4,0,Ø,Zero,3N
砺,li4,l,i,Simple,oral,4,0,l,Dentale,3P
砻,long2,l,ong,Médiale-u,nasal,2,1,l,Dentale,3P
砼,tong2,t,ong,Médiale-u,nasal,2,1,t,Dentale,3P
砾,li4,l,i,Simple,oral,4,0,l,Dentale,3P
础,chu3,ch,u,Simple,oral,3,0,ch,Rétroflexe,3P
硁,keng1,k,eng,Nasal,nasal,1,1,k,Vélaire,1P+2N
硅,gui1,g,ui,Médiale-u,oral,1,0,g,Vélaire,1P+2N
硇,nao2,n,ao,Simple,oral,2,0,n,Dentale,1P+2N
硌,ge4,g,e,Simple,oral,4,0,g,Vélaire,1P+2N
硍,ken4,k,en,Nasal,nasal,4,1,k,Vélaire,1P+2N
硎,xing2,x,ing,Médiale-i,nasal,2,1,x,Palatale,1P+2N
硏,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
硐,dong4,d,ong,Médiale-u,nasal,4,1,d,Dentale,1P+2N
硑,peng1,p,eng,Nasal,nasal,1,1,p,Labiale,2P+1N
硒,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
硕,shuo4,sh,uo,Médiale-u,oral,4,0,sh,Rétroflexe,1P+2N
硖,xia2,x,ia,Médiale-i,oral,2,0,x,Palatale,1P+2N
硗,qiao1,q,iao,Médiale-i,oral,1,0,q,Palatale,2P+1N
硙,ai2,,ai,Simple,oral,2,0,Ø,Zero,3N
硚,qiao2,q,iao,Médiale-i,oral,2,0,q,Palatale,2P+1N
硝,xiao1,x,iao,Médiale-i,oral,1,0,x,Palatale,1P+2N
硪,wo4,w,o,Simple,oral,4,0,w,Semi-voyelle,2P+1N
硫,liu2,l,iu,Médiale-i,oral,2,0,l,Dentale,3P
硬,ying4,y,ing,Médiale-i,nasal,4,1,y,Semi-voyelle,2P+1N
硭,mang2,m,ang,Nasal,nasal,2,1,m,Labiale,1P+2N
确,que4,q,üe,Complexe,oral,4,0,q,Palatale,2P+1N
硵,lu3,l,u,Simple,oral,3,0,l,Dentale,3P
硷,jian3,j,ian,Médiale-i,nasal,3,1,j,Palatale,1P+2N
硻,keng1,k,eng,Nasal,nasal,1,1,k,Vélaire,1P+2N
硼,peng2,p,eng,Nasal,nasal,2,1,p,Labiale,2P+1N
硾,zhui4,zh,ui,Médiale-u,oral,4,0,zh,Rétroflexe,1P+2N
碁,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
碃,qing4,q,ing,Médiale-i,nasal,4,1,q,Palatale,2P+1N
碇,ding4,d,ing,Médiale-i,nasal,4,1,d,Dentale,1P+2N
碈,min2,m,in,Médiale-i,nasal,2,1,m,Labiale,1P+2N
碉,diao1,d,iao,Médiale-i,oral,1,0,d,Dentale,1P+2N
碌,lu5,l,u,Simple,oral,5,0,l,Dentale,3P
碍,ai4,,ai,Simple,oral,4,0,Ø,Zero,3N
碎,sui4,s,ui,Médiale-u,oral,4,0,s,Sifflante,1P+2N
碏,que4,q,üe,Complexe,oral,4,0,q,Palatale,2P+1N
碑,bei1,b,ei,Simple,oral,1,0,b,Labiale,1P+2N
碓,dui4,d,ui,Médiale-u,oral,4,0,d,Dentale,1P+2N
碔,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
碗,wan3,w,uan,Médiale-u,nasal,3,1,w,Semi-voyelle,2P+1N
碘,dian3,d,ian,Médiale-i,nasal,3,1,d,Dentale,1P+2N
碚,bei4,b,ei,Simple,oral,4,0,b,Labiale,1P+2N
碛,qi4,q,i,Simple,oral,4,0,q,Palatale,2P+1N
碜,chen5,ch,en,Nasal,nasal,5,1,ch,Rétroflexe,3P
碝,ruan3,r,uan,Médiale-u,nasal,3,1,r,Rétroflexe,1P+2N
碞,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
碟,die2,d,ie,Médiale-i,oral,2,0,d,Dentale,1P+2N
碡,zhou5,zh,ou,Simple,oral,5,0,zh,Rétroflexe,1P+2N
碣,jie2,j,ie,Médiale-i,oral,2,0,j,Palatale,1P+2N
碥,bian3,b,ian,Médiale-i,nasal,3,1,b,Labiale,1P+2N
碧,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
碫,duan4,d,uan,Médiale-u,nasal,4,1,d,Dentale,1P+2N
碬,xia2,x,ia,Médiale-i,oral,2,0,x,Palatale,1P+2N
碯,nao3,n,ao,Simple,oral,3,0,n,Dentale,1P+2N
碰,peng4,p,eng,Nasal,nasal,4,1,p,Labiale,2P+1N
碱,jian3,j,ian,Médiale-i,nasal,3,1,j,Palatale,1P+2N
碲,di4,d,i,Simple,oral,4,0,d,Dentale,1P+2N
碳,tan4,t,an,Nasal,nasal,4,1,t,Dentale,3P
碴,cha2,ch,a,Simple,oral,2,0,ch,Rétroflexe,3P
碻,que4,q,üe,Complexe,oral,4,0,q,Palatale,2P+1N
碾,nian3,n,ian,Médiale-i,nasal,3,1,n,Dentale,1P+2N
磁,ci2,c,i,Simple,oral,2,0,c,Sifflante,1P+2N
磅,bang4,b,ang,Nasal,nasal,4,1,b,Labiale,1P+2N
磈,wei3,w,ui,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
磉,sang3,s,ang,Nasal,nasal,3,1,s,Sifflante,1P+2N
磊,lei3,l,ei,Simple,oral,3,0,l,Dentale,3P
磋,cuo1,c,uo,Médiale-u,oral,1,0,c,Sifflante,1P+2N
磎,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
磐,pan2,p,an,Nasal,nasal,2,1,p,Labiale,2P+1N
磔,zhe2,zh,e,Simple,oral,2,0,zh,Rétroflexe,1P+2N
磕,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
磖,la2,l,a,Simple,oral,2,0,l,Dentale,3P
磙,gun3,g,un,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
磛,chan2,ch,an,Nasal,nasal,2,1,ch,Rétroflexe,3P
磜,qi4,q,i,Simple,oral,4,0,q,Palatale,2P+1N
磡,kan4,k,an,Nasal,nasal,4,1,k,Vélaire,1P+2N
磤,yin3,y,in,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
磥,lei3,l,ei,Simple,oral,3,0,l,Dentale,3P
磨,mo2,m,o,Simple,oral,2,0,m,Labiale,1P+2N
磪,cui1,c,ui,Médiale-u,oral,1,0,c,Sifflante,1P+2N
磬,qing4,q,ing,Médiale-i,nasal,4,1,q,Palatale,2P+1N
磭,chuo4,ch,uo,Médiale-u,oral,4,0,ch,Rétroflexe,3P
磲,qu2,q,ü,Simple,oral,2,0,q,Palatale,2P+1N
磴,deng4,d,eng,Nasal,nasal,4,1,d,Dentale,1P+2N
磵,jian4,j,ian,Médiale-i,nasal,4,1,j,Palatale,1P+2N
磷,lin2,l,in,Médiale-i,nasal,2,1,l,Dentale,3P
