caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
秤,cheng4,ch,eng,Nasal,nasal,4,1,ch,Rétroflexe,3P
秦,qin2,q,in,Médiale-i,nasal,2,1,q,Palatale,2P+1N
秧,yang1,y,iang,Médiale-i,nasal,1,1,y,Semi-voyelle,2P+1N
秩,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
秫,shu2,sh,u,Simple,oral,2,0,sh,Rétroflexe,1P+2N
秬,ju4,j,ü,Simple,oral,4,0,j,Palatale,1P+2N
秭,zi3,z,i,Simple,oral,3,0,z,Sifflante,1P+2N
积,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
称,chen4,ch,en,Nasal,nasal,4,1,ch,Rétroflexe,3P
秷,zhi2,zh,i,Simple,oral,2,0,zh,Rétroflexe,1P+2N
秸,jie1,j,ie,Médiale-i,oral,1,0,j,Palatale,1P+2N
移,yi2,y,i,Simple,oral,2,0,y,Semi-voyelle,2P+1N
秽,hui4,h,ui,Médiale-u,oral,4,0,h,Vélaire,2P+1N
秾,nong2,n,ong,Médiale-u,nasal,2,1,n,Dentale,1P+2N
稀,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
稂,lang2,l,ang,Nasal,nasal,2,1,l,Dentale,3P
稃,fu1,f,u,Simple,oral,1,0,f,Labiale,2P+1N
稆,lu:3,l,ü,Simple,oral,3,0,l,Dentale,3P
稊,ti2,t,i,Simple,oral,2,0,t,Dentale,3P
程,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
稌,tu2,t,u,Simple,oral,2,0,t,Dentale,3P
稍,shao1,sh,ao,Simple,oral,1,0,sh,Rétroflexe,1P+2N
税,shui4,sh,ui,Médiale-u,oral,4,0,sh,Rétroflexe,1P+2N
稑,lu4,l,u,Simple,oral,4,0,l,Dentale,3P
稔,ren3,r,en,Nasal,nasal,3,1,r,Rétroflexe,1P+2N
稗,bai4,b,ai,Simple,oral,4,0,b,Labiale,1P+2N
稙,zhi2,zh,i,Simple,oral,2,0,zh,Rétroflexe,1P+2N
稚,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
稛,kun3,k,un,Médiale-u,nasal,3,1,k,Vélaire,1P+2N
稞,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
稠,chou2,ch,ou,Simple,oral,2,0,ch,Rétroflexe,3P
稣,su1,s,u,Simple,oral,1,0,s,Sifflante,1P+2N
稨,bian3,b,ian,Médiale-i,nasal,3,1,b,Labiale,1P+2N
稲,dao4,d,ao,Simple,oral,4,0,d,Dentale,1P+2N
稳,wen3,w,un,Médiale-u,nasal,3,1,w,Semi-voyelle,2P+1N
稷,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
稹,zhen3,zh,en,Nasal,nasal,3,1,zh,Rétroflexe,1P+2N
稻,dao4,d,ao,Simple,oral,4,0,d,Dentale,1P+2N
稼,jia4,j,ia,Médiale-i,oral,4,0,j,Palatale,1P+2N
稽,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
稿,gao3,g,ao,Simple,oral,3,0,g,Vélaire,1P+2N
穂,sui4,s,ui,Médiale-u,oral,4,0,s,Sifflante,1P+2N
